SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
17,1,30,-6.100998,-5.138783,-6.047688,-1.729367,-1.231957,-3.701792,-7.134601,-3.429709,-3.581408,-1.988681,-2.276253,-1.650132,-2.931971,-4.030036,-1.081215,-5.089531,-9.133636,-1.379099,-2.332879,-5.243366,-3.057694,-6.340495,-0.8406437,-4.061492,-4.094131,-0.4988647,-5.363309,-2.23444,-1.201748,-1.929806,-0.4801905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3_4_5_6_7],[4_7_14_17_22_25_29],psucssa
18,1,20,-4.313333,-2.623149,#NAME?,-5.540149,-4.184024,-6.90789,-3.690835,-4.795682,-4.819387,-2.362786,-5.955676,-1.048248,-3.364056,-3.064915,-2.270574,-4.739304,-5.06757,-4.006697,-6.179185,-0.6721706,-0.2649546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_5_6_7_15_16],[19],psucssa
19,1,14,-5.230359,-0.9052646,-4.361975,-5.834631,-3.63096,-0.8231873,-5.386065,-6.309819,-5.512712,-0.5778652,-3.447756,-4.679292,-6.061276,-1.08715,-0.446087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_10_11],[1_5_13],psucssa
20,1,4,-4.683601,-2.369944,-0.9576563,-6.184306,-2.022527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[2],psucssa
21,1,17,-5.073573,-3.756039,-3.085189,-1.086305,-1.887457,-3.913224,-1.112657,-2.186743,-3.917893,-6.882114,-5.77699,-1.928201,-6.150942,-5.241616,-4.07773,-4.680199,-0.2502018,-0.328325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6],[3_6_16],psucssa
22,1,6,-5.073573,-4.787452,-0.9776595,-2.126294,-5.509263,-2.699108,-2.355744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4],[2],psucssa
23,1,10,-3.991114,-2.14451,-1.11764,-2.32804,-5.591045,-2.277609,-1.470472,-5.028502,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7],[9],psucssa
24,1,4,-4.910845,-1.819218,-3.96417,-4.015345,-3.730667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],,psucssa
25,1,8,-4.495176,-5.918941,-0.6656599,-4.030322,-4.049328,-1.249259,-2.450948,-7.102565,-2.12492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[2_5],psucssa
26,1,10,-6.258925,-4.036985,-3.802671,-0.3125786,-2.743031,-2.369576,-1.044888,-2.169584,-0.6473594,-0.9193354,-0.4570663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[3_9],psucssa
27,1,4,-5.445959,-2.439656,-4.968927,-3.413104,-1.847384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],,psucssa
28,1,6,-5.073573,-4.539603,-2.515487,-7.604423,-6.298467,-4.934178,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5],psucssa
29,1,7,-5.073573,-6.119634,-5.266549,-4.237864,-0.7833342,-4.474973,-3.794274,-3.527629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6],[4],psucssa
30,1,10,-3.991114,-2.14451,-1.11764,-2.32804,-5.591045,-2.277609,-1.470472,-5.028502,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7],[9],psucssa
31,1,7,-5.976814,-1.725711,-6.187607,-3.660847,-4.875474,-5.22249,-1.355821,-0.4786751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[6],psucssa
32,1,5,-5.073573,-4.539603,-2.515487,-7.604423,-6.298467,-2.041393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4],,psucssa
33,1,6,-5.073573,-4.539603,-2.515487,-7.604423,-6.298467,-4.934178,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5],psucssa
34,1,12,-3.657084,-6.782089,-6.857709,-2.432533,-2.367437,-5.019664,#NAME?,-3.028441,-4.36904,-4.877995,#NAME?,-3.961602,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[11],psucssa
35,1,12,-3.657084,-6.782089,-6.857709,-2.432533,-2.367437,-5.019664,#NAME?,-3.028441,-4.36904,-4.877995,#NAME?,-3.961602,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[11],psucssa
36,1,6,-5.073573,-4.483484,-4.120953,-3.614912,-1.320477,-2.275354,-0.4589973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[5],psucssa
37,1,14,-5.230359,-0.9052646,-4.361975,-5.834631,-3.63096,-0.8231873,-5.386065,-6.309819,-5.512712,-0.5778652,-3.447756,-4.679292,-6.061276,-1.08715,-0.446087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_10_11],[1_5_13],psucssa
38,1,8,-5.001022,-4.400099,-4.338762,-1.79749,-2.513418,-3.508462,-3.071391,-5.337768,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[7],psucssa
39,1,18,-2.764911,-6.003726,-2.596012,-4.127165,-1.170725,-0.2610248,-4.246794,-1.679428,-2.924167,-1.310717,-3.829819,-0.6579286,-0.6990303,-1.293506,-6.592924,-0.7857044,-1.783712,-0.6260602,-0.4857556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[5_17],psucssa
40,1,12,-4.159117,-1.773695,-2.415294,-1.997949,-5.507558,-2.161867,-4.782952,-3.418036,-3.254669,-3.219434,-4.747678,-0.9782887,-0.4081399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7],[11],psucssa
41,1,29,-7.042348,-1.927382,-3.234934,-2.176815,-1.133798,-5.896154,-5.25786,-0.745909,-3.526158,-5.892019,-0.6956164,-2.14178,-5.656124,-3.930655,-0.4522977,-2.499394,-0.8886713,-3.500557,-6.545397,-3.371948,-4.238281,-1.249173,-6.521395,-3.521939,-0.9032488,-2.690568,-0.8886713,-6.174617,-1.281693,-0.9008504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6_7_27_28],[1_7_10_14_19_23_24_28],psucssa
42,1,6,-5.688997,-4.478161,-1.962407,-5.893716,-1.447158,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[2_4_5],psucssa
43,1,7,-4.097932,-3.051793,-2.756767,-6.860132,-7.012242,-2.432533,-4.780769,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5_6],[6],psucssa
44,1,12,-7.042348,#NAME?,-3.159547,-3.459783,-0.7323937,-4.170457,-2.284848,-3.944299,#NAME?,-3.159547,-3.459783,-0.96393,-0.3707161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_10_11],[1_2_4_8_9_11],psucssa
45,1,8,-5.445959,-4.9006,-6.613907,-6.994667,-0.9149892,-4.474871,-3.656272,-1.337984,-0.5703306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[4_7],psucssa
46,1,16,-7.042348,-5.832642,-2.747465,-1.048421,-1.676426,#NAME?,-3.064954,-4.140643,-5.560804,#NAME?,-1.397776,-3.465116,-3.209546,-6.092184,-4.328659,-1.036119,-0.4105291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[13],[4_5_9_15],psucssa
47,1,7,-4.43675,-5.359173,-2.49738,-6.46239,-4.414654,-3.088845,-4.30614,-2.356764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3],,psucssa
48,1,16,-5.445959,-1.421461,-3.839086,-3.20892,-1.107018,-6.176573,-0.9149892,-5.726803,-0.5081555,-2.849535,-2.409096,-1.687232,-5.503237,-5.305063,-2.799943,-1.089744,-0.3920057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[13_14_15],[6_8_15],psucssa
49,1,10,-3.612083,-3.583895,-0.3454795,-1.887929,-5.319402,-2.913393,-0.31627,-4.02003,-3.909211,-1.169474,-0.5717984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6],[2_6_9],psucssa
50,1,3,-6.258925,-1.014779,-4.642157,-3.698617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],,psucssa
51,1,11,-4.159117,-3.414949,-2.846311,-0.9135835,-2.67592,-3.716029,-5.673309,-3.032765,-4.434278,-2.145304,-0.5762527,-0.4954101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[3_10],psucssa
52,1,4,#NAME?,-5.356089,-5.643872,-5.425982,-0.9936768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[3],psucssa
53,1,11,-5.550694,-7.128982,-6.360046,-2.846461,-2.473811,-4.509931,-5.456226,-4.985111,-5.771676,-5.667158,-0.8685571,-0.3709212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_6_7],[10],psucssa
54,1,8,-5.415995,-3.333235,-1.777108,-5.313958,-4.638631,-3.171589,-1.258286,-1.929806,-0.4801905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5_6_7],[7],psucssa
55,1,19,-4.152754,-3.116768,#NAME?,-3.923638,-6.580376,-3.988114,-1.048893,#NAME?,-6.364953,-0.644349,#NAME?,-6.364953,-1.921918,-6.565766,-3.798048,-5.547664,-2.437033,-3.579608,-0.9764861,-0.3944347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8_9_10_11_13_14_15],[2_6_9_18],psucssa
56,1,8,-5.415995,-3.333235,-1.777108,-5.313958,-4.638631,-3.171589,-1.258286,-1.929806,-0.4801905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5_6_7],[7],psucssa
57,1,19,-4.152754,-3.116768,#NAME?,-3.923638,-6.580376,-3.988114,-1.048893,#NAME?,-6.364953,-0.644349,#NAME?,-6.364953,-1.921918,-6.565766,-3.798048,-5.547664,-2.437033,-3.579608,-0.9764861,-0.3944347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8_9_10_11_13_14_15],[2_6_9_18],psucssa
58,1,9,-6.100998,-5.138783,-5.98554,-4.188155,-6.020741,-4.069355,-3.018449,-3.746988,-4.375988,-2.313164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3_4_5],,psucssa
