SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
398,1,26,-4.255627,-2.631451,-1.687232,-5.503237,-4.070023,-2.904373,-2.178655,-4.245968,-3.664828,-3.372523,-0.30103,-3.396221,-4.930345,-5.122769,-1.10471,-4.271034,-6.034643,-3.082479,-3.24696,-2.913393,-1.490235,-2.095093,-5.259041,-4.538664,-4.000477,-1.329094,-0.3142036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[19],[10_21_25],psucssa
399,1,10,-4.282456,-4.038978,-0.6896648,-2.189061,-1.457125,-2.116096,-6.35708,-1.645913,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_8_9],[4_7_9],psucssa
400,1,10,-4.282456,-4.038978,-0.6896648,-2.189061,-1.457125,-2.116096,-6.35708,-1.645913,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_8_9],[4_7_9],psucssa
401,1,27,-2.791026,-5.695485,-2.427372,-5.870895,-4.559043,-0.7998947,-1.65748,-1.964543,-2.874027,-0.9657912,-4.601481,-0.7998947,-2.14178,-1.374258,-2.039072,-6.333797,-2.57047,-1.112412,-6.595922,-0.8922411,-5.470249,-1.7682,#NAME?,-5.847934,-0.8316928,-5.738855,-0.8326833,-0.6532125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[18_19],[5_11_14_16_19_21_22_24_26],psucssa
402,1,8,-5.445959,-2.990075,-3.283139,-4.201451,-1.054566,-4.32922,-4.274996,-0.677448,-0.3885861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[7],psucssa
403,1,14,-4.317929,-7.403087,-3.481827,-2.694123,-3.311674,-5.721538,-1.552442,-3.043751,-1.664642,-0.4738046,-4.601481,-0.622718,-4.358082,-2.107589,-0.5006024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9_10_12_13],[13],psucssa
404,1,13,-4.652567,-6.968827,-5.990564,-4.557096,-1.85848,#NAME?,-6.820245,-3.611589,-6.9972,-1.294716,-0.1876399,-5.572594,-0.770852,-0.446087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3_5_6_7],[12],psucssa
405,1,11,-2.896955,-1.939256,-2.55553,-7.393037,-2.432533,-0.6128892,-2.836989,-5.206382,-3.959598,-3.527501,-1.14178,-0.4893557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5_10],psucssa
406,1,11,-5.387967,-2.239168,-5.381913,-3.228892,-0.9385955,-4.715561,-2.291256,-3.484199,-2.828731,-4.880142,-1.853136,-3.806146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10],[4],psucssa
407,1,21,-3.824189,-3.662948,-2.244845,-5.483761,-2.622732,-1.877093,-2.663193,-4.813955,-5.279738,-2.759254,-3.201592,-3.395434,-4.640337,-2.244845,-5.483761,-1.120305,-3.573746,-3.217203,-4.336616,-4.949045,-4.309286,-3.036504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_3_12_13_14_15],[6_15],psucssa
408,1,17,-4.722855,-3.344305,-1.173965,-4.039402,-3.82182,-6.854232,-2.95881,-3.142366,-6.16202,-1.813748,-0.7462533,-4.316789,-2.468746,-3.230781,-6.283766,-3.939744,-1.435647,-0.4253646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4],[6_9_10_16],psucssa
409,1,3,-6.527233,-4.728459,-4.486331,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2],[2],psucssa
410,1,3,-5.445959,-5.413785,-4.852099,-1.463427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2],[2],psucssa
411,1,22,-4.138768,-0.0713013,-4.485938,-4.807358,#NAME?,-1.197862,-5.234784,-6.309819,-2.847538,-3.15137,-2.909232,-4.667363,-4.705665,-5.753501,-1.073489,-5.271424,-6.309819,-5.425715,-2.449478,-0.09691001,-4.044082,-1.354309,-0.4545749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4_5_6_15],[1_5_10_14_21],psucssa
412,1,6,-3.535944,-5.613844,-2.166698,-1.661305,-7.15048,-4.267818,-2.566121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],,psucssa
413,1,11,-6.326181,-2.432533,-4.179426,-1.257457,-5.44371,-0.622718,-3.385809,-6.582491,-2.880013,-4.568824,-1.782454,-0.5247629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[10],psucssa
414,1,8,-3.692266,-3.839983,-6.880299,-1.443935,-2.910725,-3.963851,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_6_7],[3_7],psucssa
415,1,4,-6.527233,-4.932557,-2.73633,-4.431802,-2.856516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2],,psucssa
416,1,9,-4.291057,-3.881,-6.333395,-3.904289,-4.778432,-4.388984,-1.062742,-4.434339,-0.296882,-0.5128034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[8],psucssa
417,1,8,-3.527254,-2.296368,-6.038308,-5.079803,-4.29809,-2.074462,-7.655337,-1.585947,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[7],psucssa
418,1,21,-5.804013,-3.205484,-0.5049582,-3.030176,-1.432731,-2.715725,-6.576816,-4.988386,-1.447354,-5.109441,-3.800639,-2.152288,-5.673541,-3.413104,-3.002929,-3.714456,-1.280754,-2.180125,-3.366472,-5.405033,-0.8937365,-0.2912702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[12_13],[2_8_20],psucssa
419,1,24,-5.060607,-3.96192,-3.624386,-5.626133,-5.599083,-3.34811,-4.488332,-0.6067061,-2.801581,-4.698135,-4.889359,-0.7122912,-3.773657,-4.187038,-4.98359,-3.247996,-2.85757,-3.92257,-5.293978,-2.799191,-5.329433,-2.996411,-2.262873,-1.000553,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[1_7_11_16_22_23],psucssa
420,1,4,-5.550694,-2.776633,-3.173772,-1.425885,-3.486892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,psucssa
421,1,9,-3.918144,-5.661709,-3.500285,-5.220798,-4.960874,-6.165985,-1.362167,-5.72714,-5.0022,-2.861908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_7_8],,psucssa
422,1,8,-5.177113,-4.117116,-2.33413,-3.181077,-3.445346,-4.359495,-5.7142,-1.242439,-0.9852768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[7],psucssa
423,1,4,-7.042348,-0.6213651,-6.556632,-4.976426,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[1_3],psucssa
424,1,25,-6.258925,-4.581675,-1.530187,-1.100579,-2.258131,-0.4522977,-4.144745,-4.252982,-1.432256,-4.253744,-2.131761,-3.712678,-4.194658,-3.219704,-0.343782,-5.753984,-1.112322,-2.652968,-8.984335,-4.077143,-3.759459,-0.8059883,-4.143503,-3.494147,-0.8177379,-0.51455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8_15_16],[8_16_21_24],psucssa
425,1,6,-4.836212,-1.271832,-3.235471,-4.450869,-5.23605,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[5],psucssa
426,1,20,-4.792746,#NAME?,-4.46203,-3.556532,-3.002344,-1.021774,-7.020035,-1.264818,-3.403199,-2.847573,-0.5045595,-2.962988,-0.5334978,-4.812849,-3.267685,-4.317636,-1.401398,-6.156873,-2.369339,-7.249875,-1.964011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_17_18_19],[1_7_12],psucssa
427,1,11,-4.792746,-5.978888,-4.649846,-5.854287,-2.043456,-5.461759,-4.559043,-0.7998947,-3.963953,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_9_10],[7_10],psucssa
428,1,4,-3.626885,-4.359499,-5.883419,-4.924175,-2.97174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3],,psucssa
429,1,3,-3.626885,-4.359499,-3.97076,-2.864766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],,psucssa
430,1,6,#NAME?,-1.197862,-5.622383,-6.278327,-3.87927,-1.124937,-4.412069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[1],psucssa
431,1,8,-2.636784,-6.13282,-3.010388,-6.5904,-4.551294,-2.853118,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_6_7],[0_2_4_5_7],psucssa
432,1,3,#NAME?,-3.294987,-3.308549,-3.706106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,psucssa
433,1,6,-3.618497,-5.536666,-7.673087,-4.542905,-6.107576,-3.892913,-2.524238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2_3],,psucssa
434,1,3,-5.445959,-3.194945,-5.401011,-2.702592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],,psucssa
435,1,32,-2.715695,-5.090239,-4.942788,-6.783871,-4.70535,-0.6388284,-3.438614,-1.796826,-2.46831,-6.249847,-5.085651,-2.463778,-3.686898,-6.523304,-1.532034,-1.389565,-0.2629045,-2.61918,-2.9051,-2.448109,-8.173273,-3.145257,-4.068569,-4.060687,-2.638877,-2.047401,-6.476808,-2.022016,-3.482717,-1.526893,-5.262513,-0.5404031,-0.3818532,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10],[5_16_31],psucssa
436,1,9,-2.541127,-4.262792,-7.038031,-4.417919,-1.148101,-4.061143,-6.240461,-4.473882,-5.172502,-3.388007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6],,psucssa
437,1,7,-4.302052,-0.4771213,-4.440207,-5.767167,-1.600916,-4.520813,-6.358146,-2.847538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5],,psucssa
438,1,13,-6.600883,-2.157831,-2.519762,-6.137981,-7.436399,-1.941623,-3.675729,-3.774209,-1.281033,-4.537042,-0.9047075,#NAME?,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5_11_12],[5_8],psucssa
439,1,3,-5.387967,-4.265714,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_2],,psucssa
440,1,5,-5.086936,-5.863397,-5.570589,-2.217922,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[3_4],psucssa
441,1,2,-5.688997,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[1],psucssa
442,1,10,-3.918144,-5.661709,-3.500285,-5.220798,-4.960874,-6.165985,-1.362167,-5.72714,-5.771562,-3.660692,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_7],[9],psucssa
443,1,6,-5.688997,-5.355896,#NAME?,-1.197862,-6.138847,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[2_3_5],psucssa
444,1,14,-3.052509,-4.966244,-3.570026,-5.399145,-1.544623,-4.212474,-4.632483,-1.855401,-5.255231,-1.06923,-4.644764,-6.513036,-5.581395,-1.201446,-0.350248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_4],[9_13],psucssa
445,1,17,-6.527233,-5.228036,-2.54372,-2.107088,-6.043744,-6.853418,-0.8406437,-2.332879,-1.935056,-0.4863122,-2.667562,-7.07091,-1.041393,-4.821677,-3.579274,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[13_14_15_16],[6_12_14_16],psucssa
446,1,14,-3.563109,-5.1181,-0.8285773,-5.721324,-5.272768,-1.093248,-1.41258,-4.222893,-0.4977793,-6.964632,-1.012837,-5.949742,-4.752475,-7.270499,-2.100957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11_12_13],[2_8_10],psucssa
447,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
448,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
449,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
450,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
451,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
452,1,7,-5.550694,-3.499578,-3.002929,-2.07389,#NAME?,-4.716341,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_4],[6],psucssa
453,1,15,-5.700997,-3.0753,-2.7821,-5.749645,-2.279783,-4.348725,-5.980895,-1.819544,-5.12253,-3.25358,-4.921396,-1.881692,-6.434226,-5.270483,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[4_7_11_14],psucssa
454,1,7,-5.550694,-3.499578,-3.002929,-2.07389,#NAME?,-4.716341,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_4],[6],psucssa
455,1,28,-5.086936,-2.621289,-2.933589,-2.922164,#NAME?,-3.312941,-2.074995,-1.29169,-0.9528666,-4.964342,-4.388885,-1.007836,-2.578181,-2.510594,-4.587967,-3.964813,-2.634251,-5.843932,-2.450261,-4.212455,-1.442372,-5.440608,-5.219986,-3.007459,-2.707394,-5.267843,-4.959911,-5.876947,-2.901609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[25_26_27],[4_11],psucssa
456,1,11,-5.445959,-7.117125,-4.353139,-0.9440095,-2.980335,-4.111445,-1.20412,-0.2688453,-0.7224511,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_3_9_10],[3_8_10],psucssa
457,1,27,-2.62365,-4.186344,-1.785109,-1.837801,-1.227161,-4.800348,-4.661238,-3.318255,-5.94683,-3.371191,-0.9032488,-3.870884,-2.177791,-1.874841,-3.348191,-0.258278,-4.327316,-1.929986,-4.188634,-5.087125,-5.407933,-1.202324,-4.915751,-3.35622,-3.691037,-4.799916,-1.558296,-0.3751969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[14_15],[7_9_10_15_21_26],psucssa
458,1,9,-7.029699,-1.625125,-2.910725,-3.243137,-1.844567,-4.58964,-3.942396,-2.645809,-0.2552725,-0.3495196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_5],[1_8],psucssa
459,1,3,-6.100998,-3.388781,-6.017018,-3.388781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[1],psucssa
460,1,7,-2.510343,-0.6131006,-5.004704,-1.264781,-3.941382,-2.641141,-0.622718,-0.3330749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[6],psucssa
461,1,13,-3.222314,-2.369772,-1.7939,-2.754564,-2.053292,-3.379827,-1.532987,-2.779869,-0.4181036,-3.43361,-6.596016,-1.200486,-5.534209,-2.450485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10_11_12],,psucssa
462,1,8,-3.527254,-3.722759,-2.600478,-3.536628,-5.039375,-1.219482,-6.275635,-6.107466,-2.166444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7],,psucssa
463,1,29,-3.065489,-1.663275,-4.89036,-2.908741,-6.366223,-0.9938769,-5.245878,#NAME?,-1.197862,-3.049887,-1.954756,-5.918201,-0.9882128,-4.148626,-0.9296169,-1.836957,-1.709078,-0.5925668,-1.581375,-2.334797,-4.582925,-5.632976,-1.097334,-4.055799,-2.695496,-2.061328,-4.923036,-5.659942,-0.8008568,-0.6569086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[5_8_12_17_28],psucssa
464,1,14,-3.535944,-3.75962,-6.490747,-4.473189,-4.04263,-3.578204,-6.180468,-5.174473,-6.41356,-1.264818,-2.668368,-3.960903,-3.262838,-1.852045,-0.4984406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[8_9],[9_13],psucssa
465,1,8,-3.052509,-4.520897,-1.067498,-3.013439,-7.154893,-2.432533,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5_6_7],[7],psucssa
466,1,18,-4.884516,-5.367577,-0.7901303,-2.365152,-2.667994,-1.792596,-3.057973,-5.627735,-1.208858,-7.610399,-5.482619,-2.057666,-2.091666,-6.098004,-2.724504,-2.177092,-2.02641,-1.777055,-0.3087168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_9_11],[17],psucssa
467,1,28,-3.963698,-3.826028,-4.098984,-2.540367,-3.489012,-3.753317,-5.956869,-2.380663,-2.156152,-1.749908,-5.435154,-4.025441,-5.744615,-0.8039764,-4.531672,-3.849811,-3.186811,-3.622723,-2.676237,-0.60206,-3.645361,-3.177765,-5.218854,-6.213714,-2.072264,-1.621363,-1.562415,-0.1510962,-0.5128034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_3_5_6],[13_27],psucssa
468,1,18,-4.884516,-5.367577,-0.7901303,-2.365152,-2.667994,-1.792596,-3.057973,-5.627735,-1.208858,-7.610399,-5.482619,-2.057666,-2.091666,-6.098004,-2.724504,-2.177092,-2.02641,-1.777055,-0.3087168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_9_11],[17],psucssa
469,1,25,-4.893116,-4.648335,#NAME?,-1.944862,-4.804802,-2.063377,-2.244215,-3.304163,-4.63788,-5.866861,-2.200714,-3.863381,-3.003276,-4.499879,-0.4240998,-4.746671,-3.879791,-3.537967,-2.446083,-1.408872,-3.95941,-5.456202,-2.259275,-4.561727,-1.533697,-0.5128034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[2_14_24],psucssa
470,1,26,-3.145239,-6.045144,-4.481265,-4.535692,-4.203043,-3.559633,-0.1918855,-4.953413,-4.278284,-2.576891,-5.641381,-3.570039,-3.311069,-1.023091,-2.682616,-2.168114,-3.354837,-2.12332,-3.413262,-5.937888,-4.667902,-2.193094,#NAME?,-3.897139,-2.579525,-0.6709413,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_23_24_25],[15_21_22_24_25],psucssa
471,1,18,-2.896868,-3.238756,-4.913506,-1.072801,-3.22138,-6.317922,-2.615102,-5.782489,-4.481265,-5.80449,-0.6642621,-4.894706,-0.8704655,-2.9515,-2.947189,-2.264345,-4.917965,-1.328942,-0.3320642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[7_8],[12_17],psucssa
472,1,35,-2.740645,-3.879279,-5.85374,-3.825288,-4.572477,-4.361645,-4.817956,-0.2255143,-6.91403,-4.481265,-4.226071,-5.095888,-1.856396,-2.787481,-1.625535,-5.434274,-2.089961,-7.246697,-0.7781513,-4.257336,-3.783382,-0.757075,-0.8467364,-0.8548493,-1.235436,-4.281199,-5.669442,#NAME?,-1.197862,-3.506381,-2.5683,-0.1249387,-1.029799,-3.416789,-0.6780361,-0.6562818,,,,,,,,,,,,,,,,,,,,,,,,,[8_9_10_11],[7_18_28_34],psucssa
473,1,13,-3.527254,-3.722759,-1.459201,-2.731987,-8.374655,-6.062132,-1.320146,-2.461124,-4.44562,-2.393159,-2.550462,-2.670682,-1.010166,-0.3709142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5_6],[6_12],psucssa
474,1,7,-4.813935,-2.389885,-6.416388,-2.192262,-1.651086,-5.922453,-1.50985,-0.4694344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],[1_6],psucssa
475,1,9,-3.685213,-2.229247,-2.830519,-2.630294,-5.226147,-4.763498,-2.251771,-1.138303,-2.585326,-0.5780441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],[8],psucssa
476,1,9,-6.326181,-2.432533,#NAME?,-3.028441,-2.468977,-4.413399,#NAME?,-1.87802,-1.924971,-0.4570663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1_2],[2_6_8],psucssa
477,1,6,-3.59865,-2.586186,-2.090689,-6.935333,-2.432533,-0.6741689,-0.4938945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[5],psucssa
478,1,11,#NAME?,-6.820245,-5.675186,-2.889871,-5.594633,-0.5925668,-2.432393,-3.876105,-5.214319,-3.53085,-4.756607,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[5_10],psucssa
479,1,15,-6.326181,-2.432533,-2.367437,-4.101336,-5.454469,-3.749071,-0.9086187,-3.32308,-3.260066,-0.7366862,-2.954542,-3.209564,-2.912503,-7.644368,-1.751291,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[9_14],psucssa
480,1,16,-6.527233,-1.176091,-4.360042,-1.6359,-0.9060955,-1.680497,-4.766917,-2.225863,-5.417335,-1.271718,-4.948245,-2.104264,-3.324308,-4.030114,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6_7_8_14_15],[11_15],psucssa
481,1,15,-4.867811,-8.330012,-1.052979,-2.701857,-3.567908,-2.225863,-5.417335,-1.271718,-4.948245,-2.405294,-1.201702,-4.766917,-2.225863,-2.478815,-4.62325,-1.026329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6],[2_14],psucssa
482,1,43,-2.914571,-1.779889,-1.848932,-0.5950029,-4.378337,-2.687325,-3.619533,-2.67335,-4.615856,-2.609643,-5.189988,-2.547775,-4.283457,-2.703747,-4.403636,-2.430352,-2.167998,-4.304391,-2.139152,-1.423293,-5.277688,-0.7765952,-4.325533,-0.7406079,-2.48919,-1.712055,-3.570107,-5.578925,-2.374707,-1.186989,-2.49435,-0.7202628,-2.438033,-2.778841,-3.418889,-3.025527,-2.505928,-1.712055,-3.570107,-6.020053,-3.085943,-1.275794,-3.182812,-2.790409,,,,,,,,,,,,,,,,,[6_7_14_27_28_39_40],[3_21_31],psucssa
483,1,8,-3.527254,-0.7929906,-3.923579,-4.694092,-1.962407,-6.265564,-3.727654,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5_6_7],[4_6_7],psucssa
484,1,5,-3.527254,-0.7929906,-5.573871,-3.806322,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[3_4],psucssa
485,1,3,-6.527233,-4.728459,-4.486331,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2],[2],psucssa
