SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
24,0,14,-4.968837,-2.642246,-6.769875,-3.766022,-5.033401,-5.003463,-2.841516,-2.897408,-5.335788,-1.391107,-1.955429,-7.544697,-1.993541,-1.350056,-0.6532125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
25,0,9,-4.396187,-3.051377,-4.834215,-3.670946,-5.850224,-1.554743,-4.708142,-2.986392,-1.44281,-0.5493164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
26,0,4,-4.495176,-1.357491,-7.684893,-5.377638,-2.394627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
27,0,3,-4.495176,-5.918941,-1.059058,-0.5752883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
28,0,6,-5.336814,-1.470682,-4.489299,-4.348788,-4.973811,-2.311842,-0.8361432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
29,0,6,-3.501123,-5.878493,-3.653793,-4.28048,-3.298244,-2.681282,-4.172299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
30,0,3,-7.042348,-3.703425,-3.308549,-3.706106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
31,0,3,-3.501123,-5.878493,-1.03809,-0.3107174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
32,0,11,-5.313333,-0.3245111,-3.088767,-7.245153,-6.3942,-5.312318,-5.741721,-1.978777,-2.846885,-3.816025,-5.09868,-3.450374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
33,0,3,-5.688997,-4.478161,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
34,0,3,-5.177113,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
35,0,7,-5.357115,-1.048248,-4.461975,-5.284211,-3.140907,-0.726807,-0.7249983,-0.5703306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
36,0,3,-5.688997,-4.478161,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
37,0,3,-5.637844,-2.5407,-2.994668,-1.879542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
38,0,4,-5.637844,-5.640485,-3.329773,-0.328867,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
39,0,3,-5.688997,-4.478161,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
40,0,3,-5.637844,-2.5407,-2.994668,-1.879542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
41,0,11,-3.260659,-3.902207,-3.838784,-3.514784,-2.318084,-1.747325,-0.4977829,-1.064262,-4.181309,-4.17708,-3.108528,-0.5539613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
42,0,3,-4.495176,-5.918941,-1.059058,-0.5752883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
43,0,3,-2.715695,-4.714575,-0.8113198,-0.3547861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
44,0,4,-4.495176,-3.133663,-3.574092,-2.080095,-0.5186725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
45,0,12,-5.313333,-5.135362,-2.566946,-1.67129,-6.401375,-7.052925,-0.8406437,-7.089008,-4.496606,-0.9934592,-4.727693,-5.7721,-2.81096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
46,0,6,-4.138768,-0.0713013,-5.997053,-6.188694,-5.825457,-4.206319,-3.493793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
47,0,3,-4.512905,-5.721723,-3.929947,-1.077233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
48,0,9,-3.007416,-7.391824,-4.472456,-0.871152,-5.374008,-0.6796649,-4.144762,-1.243623,-4.77886,-1.159582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
49,0,7,-6.308454,-7.7008,-1.352999,-5.112469,-0.6796649,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
50,0,3,-6.527233,-5.152477,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
51,0,15,-2.949325,-1.728947,-6.564132,-1.879979,-5.074112,-4.043313,-1.142202,-1.887742,-6.101918,#NAME?,-1.197862,-2.044607,-1.723469,-2.927062,-1.940968,-0.4604476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
52,0,6,-4.785907,-5.43399,-1.662678,-4.851076,-6.103825,-1.305742,-0.39794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
53,0,13,-3.535944,-3.922823,-2.449168,-5.30155,-2.443461,-1.09882,-4.250428,-3.404136,-6.195982,-3.810665,#NAME?,-4.99132,-1.074847,-0.3561384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
54,0,11,-5.160723,-4.62987,-3.465959,-2.083781,-6.63483,-2.1993,-0.7904912,-1.790707,-2.285938,-4.025067,-0.5684076,-0.5006024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
