SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
719,0,13,-5.512905,-6.083847,-1.839242,-0.7476568,-4.454161,-1.600386,-0.2872417,-6.08549,-0.7089185,-5.702542,-0.9154039,-5.515114,-1.387916,-0.5101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
720,0,5,-3.065489,-2.758134,-4.942741,-2.435729,-0.7861202,-0.5091888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
721,0,7,-6.100998,-1.990388,-5.7235,-2.302259,-3.522219,-5.515765,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
722,0,3,-5.637844,-4.788049,-1.596259,-0.5414085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
723,0,5,-3.501123,-2.908404,-6.847403,-2.381168,-3.859633,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
724,0,10,-4.876083,-2.558667,-0.8345106,-3.78315,-4.547348,-0.4891628,-4.790125,-3.034458,-4.233019,-0.7367586,-0.4058753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
725,0,10,-4.302052,-3.390318,-3.157874,-6.303366,-0.8755206,-4.709467,-3.493096,-3.550051,-4.109146,-2.423795,-0.4191293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
726,0,11,-7.042348,-1.618971,#NAME?,-3.483315,-3.653591,-0.8201176,#NAME?,-3.406034,-3.64466,-4.363617,-0.3555963,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
727,0,10,-4.302052,-3.390318,-3.157874,-6.303366,-0.8755206,-4.709467,-3.493096,-3.550051,-4.109146,-2.423795,-0.4191293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
728,0,11,-7.042348,-1.618971,#NAME?,-3.483315,-3.653591,-0.8201176,-5.153567,-2.117638,-3.635841,-4.325171,-0.3555963,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
729,0,6,-3.065489,-4.148918,-5.778683,-2.046662,-5.266133,-1.203928,-0.4983106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
730,0,22,-4.243782,-3.23811,-6.795089,-4.379954,-6.484969,-0.4149733,-4.559348,-2.370666,-4.874737,-1.611884,-4.571538,-5.299199,#NAME?,-5.243498,-1.059009,-4.252168,-0.4174184,-4.187368,-4.691883,-5.950748,-1.95339,-0.9511624,-0.3801728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
731,0,15,-3.119623,-3.643041,-1.631111,-5.493089,-6.04104,-3.270463,-2.99957,-4.595208,#NAME?,-4.817444,-4.135591,-0.6448234,-4.99411,-2.015893,-0.2418198,-0.3495196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
732,0,11,-6.527233,-4.286928,-3.514555,-4.000649,-4.211991,-3.467998,-4.359614,-1.804378,-3.705465,-5.61005,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
733,0,9,-5.804013,-3.473792,-5.199445,-1.887882,-7.171044,-4.27754,-3.0721,-1.99287,-0.8634468,-0.4787491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
734,0,15,-4.478143,-1.523432,-4.167988,-2.742438,-0.622718,-4.306166,-1.929986,-5.857439,-4.213914,-0.7904912,-4.194151,-3.115263,-1.89671,-5.445394,-1.220434,-0.3222193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
735,0,11,-4.317929,-6.078712,-4.8398,-4.045095,-3.199224,-3.632744,-2.503417,-5.186615,-2.36865,-4.025208,-5.170247,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
736,0,11,-6.527233,-4.286928,-3.514555,-4.000649,-4.211991,-3.467998,-4.359614,-1.804378,-3.705465,-5.61005,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
737,0,9,-3.550299,-4.370271,-3.234787,-3.239638,-0.3273589,#NAME?,-3.88177,-2.992833,-0.5740313,-0.4518589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
738,0,10,-3.222314,-1.591621,-3.038359,-0.5739589,-3.039407,-0.8859594,-0.6812197,-5.503237,-4.93294,-0.966715,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
739,0,7,-5.415995,-6.106137,-0.69897,-5.808331,-4.148726,-3.258603,-4.864997,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
740,0,11,-5.976814,-3.558488,-2.123277,-4.404692,#NAME?,-1.397776,-4.544015,-6.187898,#NAME?,-5.115943,-4.617445,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
741,0,6,-5.976814,-4.079207,-4.902562,-3.706842,-4.189153,-2.9225,-1.966089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
742,0,3,-5.001022,-3.277147,-3.940463,-1.257269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
743,0,9,-4.215509,-3.323132,-2.958286,-1.911966,-2.797648,-1.759059,-4.798532,-2.181368,-3.005963,-1.129408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
744,0,10,-4.159117,-0.4373341,-1.871361,-1.503383,-1.848585,-3.51681,-3.23614,-4.766381,-6.846604,-4.363343,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
745,0,8,-4.192413,-5.234958,-0.9882128,-5.064981,-6.124396,-1.731155,-5.068735,-1.1269,-0.2640464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
746,0,3,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
747,0,8,-4.192413,-5.234958,-0.9882128,-5.064981,-6.124396,-1.731155,-5.068735,-1.1269,-0.2640464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
748,0,3,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
749,0,12,-5.804013,-4.979331,#NAME?,-3.99545,-4.806536,-5.145963,-1.946593,-4.140512,-4.207501,-4.238725,-3.31,-0.863662,-0.4368242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
750,0,10,-4.455366,-2.399191,-3.978339,-3.383542,-1.350056,-3.886795,-4.122541,-4.423516,-3.22864,-4.039858,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
751,0,18,-6.527233,-5.158843,-4.677173,-0.5708259,-2.794067,-5.032919,-5.016879,-1.456977,-4.255344,-4.248437,-0.7737647,-3.045349,-4.617165,-3.771251,-1.13947,-3.540675,-4.547926,-0.8446054,-0.4423591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
752,0,19,-5.415995,-2.305809,-3.266111,-2.684893,-1.063136,-5.357306,-1.222402,-4.220814,-2.878591,-3.894508,-4.892569,-1.538998,-6.691632,-2.740296,-3.040758,-1.540257,-5.361426,-0.9322482,-0.9511624,-0.4866666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
753,0,11,-6.527233,-4.286928,-3.514555,-4.000649,-4.211991,-3.467998,-4.359614,-1.804378,-3.705465,-5.61005,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
754,0,3,-4.215509,-5.155905,-1.137055,-0.3495196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
755,0,12,-4.050508,-5.965708,-6.233952,#NAME?,-3.483315,-3.653591,-0.8201176,-5.7526,-6.628217,-4.511302,-4.892569,-1.164418,-0.4311272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
756,0,7,-5.035784,-6.595182,-5.618956,-0.617817,-4.872678,-3.643988,-0.8280647,-0.613341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
757,0,12,-4.050508,-5.965708,-6.233952,#NAME?,-3.483315,-3.653591,-0.8201176,-5.7526,-6.628217,-4.511302,-4.892569,-1.164418,-0.4311272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
758,0,7,-5.035784,-6.595182,-5.618956,-0.617817,-4.872678,-3.643988,-0.8280647,-0.613341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
759,0,3,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
760,0,9,#NAME?,-3.483315,-3.653591,-1.98123,-4.116363,-4.434031,-5.860635,-3.295359,-1.966142,-0.6566263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
761,0,7,-3.568012,-4.638288,-1.436832,-2.930867,-3.541435,-2.00995,-0.3392945,-0.4518589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
762,0,3,-4.374603,-2.309071,-0.7990851,-0.3495196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
763,0,12,-5.073573,-5.749907,-5.682647,-3.569187,-4.656292,-2.039351,-4.671578,-2.747827,-3.544626,-4.652518,-3.534518,-0.7739857,-0.4771213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
764,0,19,-4.587765,-5.305936,-4.623943,-2.528402,#NAME?,-1.197862,-5.831643,-3.211471,-1.59549,#NAME?,-1.197862,-6.250772,#NAME?,-2.104872,-2.654121,-1.7235,-5.179534,-3.978921,-1.034865,-0.347692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
765,0,9,-5.804013,-2.583181,-1.543464,-3.752112,-4.282488,-2.996804,-6.933572,-3.889837,-1.859587,-0.4888145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
766,0,8,-4.192413,-5.234958,-4.877915,-5.51093,-3.700925,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
767,0,25,-3.535944,-1.537628,-4.190198,-1.519199,-5.762679,-1.721945,-6.326161,-4.256519,-1.810971,-4.926502,-4.486484,-3.759459,-3.4887,-2.408992,-0.824462,-5.090394,-2.706399,-1.560612,-2.019567,-2.057173,-1.638486,-1.988916,-3.684602,-4.170641,-4.917804,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
768,0,4,-4.662668,-3.1015,-3.362691,-3.851004,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
769,0,14,-3.954597,-3.829501,-5.428696,-1.274998,-4.133079,-1.173292,-4.02017,-1.117399,-4.470767,-0.6255411,-4.10008,-1.173292,-4.901193,-0.7579479,-0.6297314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
770,0,3,-5.269867,-5.499402,-0.6328061,-0.5019448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
771,0,8,-5.637844,-0.9667723,-4.929999,-0.8645111,-5.965428,-5.097526,-5.598162,-1.77797,-0.3233064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
772,0,8,-4.192413,-5.234958,-0.9882128,-5.064981,-6.124396,-1.731155,-5.068735,-1.1269,-0.2640464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
773,0,3,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
774,0,8,-4.192413,-5.234958,-0.9882128,-5.064981,-6.124396,-1.731155,-5.068735,-1.1269,-0.2640464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
775,0,3,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
776,0,20,-3.568012,-4.721076,-3.828978,-3.395263,-0.8859594,-0.6812197,-5.503237,-4.93294,-0.4988647,-3.314518,-1.291035,-1.664433,-1.306425,-5.503237,-4.850151,-1.319731,-2.60119,-5.729619,-6.088486,-1.281693,-0.9008504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
777,0,11,-6.527233,-4.286928,-3.514555,-4.000649,-4.211991,-3.467998,-4.359614,-1.804378,-3.705465,-5.61005,-1.728974,-0.4670209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
778,0,19,-5.804013,-3.821517,-4.81121,-3.184872,-5.749864,-1.316263,-7.101807,-0.8406437,-6.662773,-1.11856,-5.676741,-1.504958,-6.757556,-1.244165,-6.448577,-1.136041,-7.159122,-2.030045,-0.8342869,-0.2649059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
779,0,6,-6.258925,-5.239045,-1.347051,-5.978775,-5.757013,-1.220016,-0.6419315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
780,0,3,-4.088296,-8.949953,-4.835785,-3.005926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
781,0,3,-4.138768,-0.0713013,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
782,0,4,-4.575053,-5.198722,#NAME?,-2.796102,-1.847712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
783,0,16,-5.415995,-4.161771,-4.372456,-6.333132,-1.902003,-0.4094886,-1.826877,-4.203354,-3.140528,-5.478996,-2.914542,-3.287162,-2.045513,-3.990206,-4.974262,-0.8060885,-0.1303289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
784,0,4,-4.374603,-2.425576,-0.4418455,-0.1571234,-0.3449026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
785,0,16,-4.876083,-4.155057,-1.89487,-3.610698,-3.550176,-1.177815,-1.620857,-5.273717,-3.461142,-6.216562,-3.374005,-3.926188,-0.5556167,-4.026357,-1.797523,-0.2218488,-0.3564932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
786,0,16,-2.791026,-5.592477,-3.832045,-6.332575,-0.6026695,-4.84536,-0.8325089,-5.777477,-1.44281,-6.470937,-0.7823883,-4.620736,-3.353394,-2.830732,-1.733551,-0.4455223,-0.505755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
787,0,13,-2.791026,-5.592477,-4.492096,-6.494461,-0.8922411,-1.908651,-7.066401,-4.718148,-2.787393,-1.106351,-3.989348,-1.788734,-0.1760913,-0.4106632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
788,0,4,-5.512905,-5.609582,-2.982179,-1.871978,-0.2611585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
789,0,12,-3.588195,-4.446175,-3.75928,-4.653283,-0.629897,-4.877522,-3.600652,-6.225562,-1.837129,-1.33236,-4.693302,-0.7140337,-0.4696972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
790,0,10,-2.764911,-5.114337,-4.499214,-4.538637,-0.7122912,-4.957885,-4.580451,-4.190129,-4.720798,-0.9302527,-0.4004146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
791,0,4,-4.374603,-2.425576,-0.4418455,-0.1571234,-0.3449026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
792,0,16,-4.876083,-4.155057,-1.89487,-3.610698,-3.550176,-1.177815,-1.620857,-5.273717,-3.461142,-6.216562,-3.374005,-3.926188,-0.5556167,-4.026357,-1.797523,-0.2218488,-0.3564932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
793,0,13,-2.791026,-5.592477,-4.850151,-0.872935,-5.777477,-1.44281,-6.470937,-0.7823883,-4.620736,-3.353394,-2.830732,-1.733551,-0.4455223,-0.505755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
794,0,13,-2.791026,-5.592477,-4.492096,-6.494461,-0.8922411,-1.908651,-7.066401,-4.718148,-2.787393,-1.106351,-3.989348,-1.788734,-0.1760913,-0.4106632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
795,0,4,-5.512905,-5.609582,-2.982179,-1.871978,-0.2611585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
796,0,12,-3.588195,-4.446175,-3.75928,-4.653283,-0.629897,-4.877522,-3.600652,-6.225562,-1.837129,-1.33236,-4.693302,-0.7140337,-0.4696972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
797,0,11,-6.258925,-2.762558,-4.971475,-4.499214,-4.538637,-0.7122912,-4.957885,-4.580451,-4.190129,-4.720798,-0.9302527,-0.4004146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
798,0,3,-4.495176,-3.320646,-0.6939341,-0.4068164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmucssa
