SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
23,0,13,-2.677585,-1.828142,-1.034599,-5.503237,-6.960937,-0.8406437,-2.044607,-0.5860675,-3.368177,-3.966947,-5.227342,-0.7286339,-1.805991,-0.4870295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
24,0,11,-2.896868,-5.658256,-3.445896,-2.780048,-1.478476,-5.620074,-1.072246,-4.508354,-3.517969,-3.595524,-1.655329,-0.5703306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
25,0,18,-2.225141,-3.136497,-4.409427,-6.976446,-2.432533,-1.8501,-1.351723,-3.126473,-5.616953,-5.875138,-2.290925,-3.255826,-4.38361,-1.059009,-3.164851,-4.04712,-7.420434,-0.8239087,-0.2684461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
26,0,10,-2.541127,-3.282496,-4.235393,-2.083647,-1.663864,-4.436532,-1.06923,-4.562958,-4.801835,-4.600833,-2.861908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
27,0,3,-4.495176,-4.625318,-0.6175672,-0.5576725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
28,0,8,-5.637844,-5.687654,-3.815936,-3.177355,-2.855302,-4.637726,#NAME?,-5.243498,-3.558488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
29,0,7,-4.495176,-5.045713,-5.844398,-2.634718,-5.717352,-1.330245,-4.36758,-3.783293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
30,0,10,-3.529129,-5.85149,-1.737328,-4.054943,-6.233901,#NAME?,-5.243498,-5.777745,-2.889871,-3.865618,-3.10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
31,0,3,-7.042348,-5.377638,-3.844888,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
32,0,8,-3.222314,-1.591621,-3.958781,-0.629897,-1.307129,-2.209068,-3.379827,-0.8193536,-0.6297314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
33,0,4,-5.177113,-2.604747,-4.254447,-0.3776642,-0.4637573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
34,0,3,-6.527233,-4.815444,-1.323739,-0.509306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
35,0,16,-2.791026,-2.89797,-4.135512,-3.623975,-0.9248334,-3.171721,-6.396934,-2.144395,-2.332879,-3.26468,-2.684893,-1.222897,-2.655835,-5.729619,-5.57337,-0.8957908,-0.7086574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
