SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfTranslationOfFirstCodeSwitchedWord,AverageSurprisalOfTranslationOfSwitchPointWords,AverageSurprisalOfTranslationOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
1426,7,3.289723857,4.884516,4.884516,4.884516,2.591935857,cmucssa
1428,5,3.56772,3.764442,3.764442,3.8361385,2.0332646,cmucssa
1434,4,3.48269125,3.764442,3.764442,3.764442,2.54158075,cmucssa
1435,6,4.219471667,6.436282,6.436282,6.436282,3.146758,cmucssa
1436,13,4.454644308,2.436077,4.072693,3.876178667,3.560141538,cmucssa
1437,7,3.289723857,4.884516,4.884516,4.884516,2.591935857,cmucssa
1440,15,3.254657007,5.113973,4.772465,3.479057033,2.5588456,cmucssa
1441,16,3.551918137,6.258925,4.987978,4.9964974,1.9905127,cmucssa
1442,34,3.150344409,4.508268,5.1327755,4.31391125,2.642825438,cmucssa
1443,10,2.59742484,5.510592,5.510592,3.20786695,1.95585145,cmucssa
1444,20,3.21671221,5.588156,5.588156,5.588156,2.93730441,cmucssa
1447,19,3.635106905,5.997339,4.273616,4.872590333,2.865750537,cmucssa
1448,3,4.902235,6.910512,6.910512,6.910512,2.598731,cmucssa
1449,6,3.6443914,7.59668,7.59668,6.3737195,1.519818233,cmucssa
1450,16,3.208287875,5.191896,5.191896,5.191896,2.883794375,cmucssa
1451,10,3.80141662,4.023911,4.023911,4.023911,3.39902552,cmucssa
1452,7,3.349144114,5.336814,5.298123,5.298123,1.835394686,cmucssa
1453,7,3.289723857,4.884516,4.884516,4.884516,2.591935857,cmucssa
1454,20,3.21671221,5.588156,5.588156,5.588156,2.93730441,cmucssa
1456,16,3.0195417,7.343616,7.343616,5.6376495,2.314835513,cmucssa
1457,8,2.926262263,5.976814,5.976814,5.976814,2.179160512,cmucssa
1458,27,3.82620217,8.465039,8.465039,8.465039,3.512682207,cmucssa
1459,7,3.289723857,4.884516,4.884516,4.884516,2.591935857,cmucssa
1460,5,2.644301,3.525658,3.525658,2.5904935,1.6081036,cmucssa
1461,25,3.318049816,5.192371,5.192371,5.192371,3.110354976,cmucssa
1464,6,3.593732333,4.042178,4.042178,3.798690333,1.694387167,cmucssa
1465,6,3.612596833,6.174873,6.174873,6.174873,2.583451333,cmucssa
1466,13,2.814505538,5.14314,5.14314,5.14314,2.418879385,cmucssa
1467,14,3.482568286,5.936787,5.247915,3.867616,2.653793429,cmucssa
1468,13,2.899674808,1.14178,1.14178,0.93997275,2.755063615,cmucssa
1470,5,2.644301,3.525658,3.525658,2.5904935,1.6081036,cmucssa
1471,13,2.255376123,5.133173,5.133173,3.00396525,1.793227623,cmucssa
1472,10,3.4182749,5.936787,5.936787,3.5703575,2.7042034,cmucssa
1473,11,3.903793545,7.578407,7.578407,4.4914555,3.087165273,cmucssa
1475,5,3.4394024,4.042178,4.042178,3.5153445,2.0332646,cmucssa
1476,4,3.302425825,6.527233,4.15507,3.011712767,1.04364125,cmucssa
1477,19,3.021970442,2.529841,3.232026667,2.842122067,2.124458211,cmucssa
1478,11,4.286731455,5.432631,6.1099305,4.70586225,2.575508818,cmucssa
1479,11,3.567256209,9.064647,9.064647,7.0543195,2.284652664,cmucssa
1480,13,3.501413623,5.359173,5.359173,4.88295,1.623355931,cmucssa
1482,6,3.593732333,4.042178,4.042178,3.798690333,1.694387167,cmucssa
1483,12,3.5460701,5.083325,5.083325,5.083325,3.122459683,cmucssa
1484,14,3.3440872,5.09675,6.0333675,6.0333675,2.482177557,cmucssa
1486,11,2.093372845,3.525658,3.691505,2.391066,1.2238943,cmucssa
1488,8,4.593857375,2.841727,2.841727,4.71630825,2.23570325,cmucssa
1491,10,3.4182749,5.936787,5.936787,3.5703575,2.7042034,cmucssa
1492,15,2.950782707,3.731112,3.731112,2.0299895,2.68011744,cmucssa
1494,4,3.95960825,5.086679,5.086679,5.086679,2.6879385,cmucssa
1499,5,3.4394024,4.042178,4.042178,3.5153445,2.0332646,cmucssa
1500,10,4.8257144,4.876083,5.999112,5.717349,0.8235701,cmucssa
1501,6,3.047705,3.976529,3.976529,2.751318333,1.672045833,cmucssa
1502,10,2.44913001,4.836417,4.836417,2.78440535,1.89224894,cmucssa
1503,6,2.647232983,4.751098,4.751098,2.75452295,1.729058667,cmucssa
1504,6,3.65379915,6.527233,6.3469615,6.3469615,1.538145317,cmucssa
1507,6,3.593732333,4.042178,4.042178,3.798690333,1.694387167,cmucssa
1508,6,3.593732333,4.260033,4.260033,3.914026,0.984381667,cmucssa
1509,21,4.011162929,2.894396,2.894396,4.110362,3.619699881,cmucssa
1510,11,2.912507536,4.267184,4.741245,4.741245,2.050462991,cmucssa
1511,11,3.881364182,3.881699,5.6405815,4.932451333,2.536150182,cmucssa
1512,6,3.697686167,4.023911,4.023911,4.023911,3.027034333,cmucssa
1513,3,4.041838,5.50559,5.50559,5.50559,2.206641333,cmucssa
1514,4,4.408749,7.466767,7.466767,7.466767,2.54205725,cmucssa
1517,3,4.972246667,4.642827,4.642827,4.642827,3.424637667,cmucssa
1518,7,3.857009286,5.50422,5.50422,3.686021833,2.277285643,cmucssa
1519,10,2.69097513,4.607272,4.607272,4.4875475,1.79346563,cmucssa
1520,16,3.239172206,3.861233,5.5317805,4.80070775,2.038995269,cmucssa
1521,12,3.039347542,5.114603,4.940886,4.940886,2.215866542,cmucssa
1522,27,4.139174407,5.437181,5.437181,5.437181,3.937797333,cmucssa
1525,8,2.818388163,4.462133,4.462133,2.8330305,2.110130538,cmucssa
1526,17,3.205647971,4.053444,4.053444,4.053444,2.967210088,cmucssa
1527,19,3.018396732,5.183459,5.323465667,3.125054933,2.031537279,cmucssa
1528,11,3.085470127,6.711291,6.711291,6.711291,2.475352764,cmucssa
1530,7,4.834532857,5.648571,5.648571,5.648571,4.027594143,cmucssa
1532,5,4.4143882,4.495176,4.495176,4.8840115,2.4607836,cmucssa
1534,10,4.24300686,5.775359,5.775359,5.388205,3.16536586,cmucssa
1535,12,4.219513633,6.272097,6.272097,6.272097,3.696838883,cmucssa
1537,5,4.4470876,7.60541,7.60541,7.60541,2.9260056,cmucssa
1538,11,2.748212218,1.672098,1.672098,1.672098,2.596203309,cmucssa
1539,19,3.370311053,4.984299,4.984299,5.240005333,2.542941789,cmucssa
1540,6,4.175248167,6.910512,6.910512,6.910512,3.023496167,cmucssa
1542,11,3.696540491,6.258925,6.258925,6.258925,3.127547309,cmucssa
1543,11,3.696540491,6.258925,6.258925,6.258925,3.127547309,cmucssa
1544,6,3.086683168,6.215111,6.215111,3.596129,1.887973502,cmucssa
1545,12,4.421165583,3.559633,3.559633,2.4622505,4.0107905,cmucssa
1546,24,3.003917529,4.964067,5.1287895,4.57835,2.431623779,cmucssa
1547,13,3.053173977,5.614219,5.499096,3.835449167,2.168070323,cmucssa
1550,6,3.788342833,3.215541,3.215541,3.215541,3.252419333,cmucssa
1555,7,4.280526,5.185153,5.185153,4.3084945,3.049527571,cmucssa
1556,18,3.4750292,7.330445,7.330445,4.3913065,2.987106256,cmucssa
1558,5,4.9416134,6.910512,6.910512,6.910512,3.559511,cmucssa
1559,16,2.793622826,6.696129,6.696129,2.618609933,2.302633463,cmucssa
1562,11,2.886996936,5.359092,5.359092,5.359092,2.399806755,cmucssa
1564,24,2.892514833,5.222569,5.222569,3.544241,2.597161417,cmucssa
1565,12,3.352566892,5.881103,5.881103,3.4161327,2.783211442,cmucssa
1569,5,3.821679,3.61606,3.61606,3.218811333,1.8903922,cmucssa
1570,15,3.075974133,4.556144,4.556144,4.608502,2.4615072,cmucssa
1572,6,4.493662833,6.435623,6.435623,6.435623,3.421059,cmucssa
1573,7,4.037126286,4.836212,4.836212,4.241310333,2.219421857,cmucssa
1576,2,4.22005,5.804013,5.804013,5.804013,1.3180435,cmucssa
1577,10,3.72646759,3.952648,3.952648,3.65381,2.63032459,cmucssa
1580,15,3.73605128,7.705169,7.705169,4.2761471,3.165898333,cmucssa
1582,13,4.249251754,8.546035,6.94757,5.0877225,1.901072138,cmucssa
1584,6,2.681575017,5.72283,5.72283,3.4088785,1.545282183,cmucssa
1587,6,3.657769417,7.471323,7.471323,5.9452885,1.676006583,cmucssa
1589,17,3.287934765,4.593703,4.593703,3.029511,2.931521706,cmucssa
1592,14,2.866941529,3.833292,3.833292,2.4590268,2.340007214,cmucssa
1593,15,2.861759727,6.942991,6.942991,4.020629,1.789591993,cmucssa
1594,13,4.028844677,5.034184,5.034184,4.5201532,0.899507846,cmucssa
1595,11,3.6165705,6.986233,6.986233,6.986233,2.981458409,cmucssa
1601,6,3.347642,4.779917,4.779917,4.6850715,1.7859515,cmucssa
1602,3,4.562686667,6.100998,6.100998,6.100998,2.529020667,cmucssa
1603,8,4.65256875,3.699992,5.7151395,5.324108667,2.656028,cmucssa
1604,5,4.7262666,3.699992,5.7151395,5.7151395,2.4402108,cmucssa
1608,13,3.017030462,4.557419,4.557419,4.557419,2.666459769,cmucssa
1611,22,3.595648064,5.415995,5.415995,5.415995,3.349466473,cmucssa
1620,8,4.05842475,6.237377,6.237377,6.237377,3.278752625,cmucssa
1621,19,3.902865211,4.213874,4.213874,4.213874,3.681082368,cmucssa
1624,5,4.1712104,6.258925,6.258925,6.258925,2.9194254,cmucssa
1626,8,3.350735763,4.442099,5.646648,5.340051667,1.348216388,cmucssa
1627,8,3.350735763,4.442099,5.646648,5.340051667,1.348216388,cmucssa
1628,17,2.927774888,4.881539,3.4350175,2.6234547,2.310491429,cmucssa
1630,11,3.184594518,3.886206,3.886206,3.9311945,2.469831882,cmucssa
1631,8,3.447368,5.550694,5.550694,3.232190333,2.235296625,cmucssa
1632,14,3.648515779,6.236118,6.236118,6.236118,3.203078779,cmucssa
1633,4,3.87552375,5.649648,5.649648,5.649648,2.46311175,cmucssa
1634,5,4.8041574,5.012733,5.012733,4.480101,3.012117,cmucssa
1635,6,4.514094,6.182658,6.182658,5.766709,2.591857667,cmucssa
1636,29,3.471905766,4.836212,6.2819175,6.555624,2.793737766,cmucssa
1637,12,3.961954917,7.225348,7.225348,6.1880535,2.930612667,cmucssa
1638,7,3.819497714,4.837753,4.837753,5.20056,2.333623429,cmucssa
1644,4,5.203538,6.910512,6.1548635,6.1548635,2.12610625,cmucssa
1645,3,4.574798667,6.505155,6.505155,4.193791,1.778938,cmucssa
1646,7,3.665549757,3.563109,4.8437265,4.631720333,1.680526757,cmucssa
1648,12,3.565384617,6.928241,5.287508,4.552045333,2.427373283,cmucssa
1652,27,3.837520511,6.910512,6.910512,6.910512,3.581575622,cmucssa
1655,4,4.8767505,4.836212,4.836212,5.993586,1.8799575,cmucssa
1658,6,4.415660617,6.910512,6.910512,6.910512,3.263908617,cmucssa
1659,7,3.028976171,6.910512,6.910512,3.8015838,1.942809371,cmucssa
1661,9,3.587196333,6.239365,6.239365,3.9416685,2.71127,cmucssa
1663,7,4.632839,4.958834,4.958834,5.328134,3.110515,cmucssa
1664,6,3.653926617,6.910512,6.910512,6.910512,2.502174617,cmucssa
1667,8,3.7942835,4.099367,4.099367,4.8788835,2.574562625,cmucssa
1668,18,3.082642667,4.872859,4.872859,3.761131,2.664739222,cmucssa
1671,8,4.50920625,6.795056,6.795056,5.7421535,3.073667875,cmucssa
1679,21,3.266087105,6.910512,6.910512,6.910512,2.937015105,cmucssa
1680,8,5.350732875,5.589065,5.589065,5.5534485,3.96237075,cmucssa
1682,12,3.522284675,5.901578,5.901578,4.126701333,2.490609342,cmucssa
1684,33,3.222657394,4.835726,4.835726,4.835726,3.076120242,cmucssa
1685,12,3.236476175,5.625957,5.625957,5.625957,2.767646425,cmucssa
1686,16,3.847544031,4.836212,4.836212,5.993586,3.098345781,cmucssa
1688,13,3.831246646,5.455238,5.455238,5.455238,3.411612954,cmucssa
1689,7,4.162229143,5.886802,5.886802,4.162229143,0,cmucssa
