SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
205,7,4.0963009999999995,pittcssa
206,10,3.8173575499999997,pittcssa
208,18,3.2899441111111107,pittcssa
214,10,4.174047999999999,pittcssa
215,6,3.008388666666667,pittcssa
216,6,3.04751125,pittcssa
218,3,4.298743333333333,pittcssa
219,3,3.6518499999999996,pittcssa
220,10,3.0249178000000003,pittcssa
221,4,3.8166,pittcssa
222,10,3.3062802,pittcssa
223,3,5.399638,pittcssa
225,4,4.773674249999999,pittcssa
226,3,4.727289,pittcssa
229,5,4.845166600000001,pittcssa
230,4,3.6261512500000004,pittcssa
231,4,5.228773749999999,pittcssa
232,3,2.290181666666667,pittcssa
234,3,4.043188333333334,pittcssa
235,13,3.6527715692307696,pittcssa
236,5,3.4341775999999995,pittcssa
237,3,4.043188333333334,pittcssa
238,4,3.416561625,pittcssa
239,3,5.236409666666667,pittcssa
240,4,4.00105175,pittcssa
241,13,3.7202833076923083,pittcssa
242,6,3.6642172333333334,pittcssa
243,6,3.491623,pittcssa
244,3,5.936151666666667,pittcssa
245,3,4.184341333333333,pittcssa
246,3,4.1205430000000005,pittcssa
247,6,3.2226690999999996,pittcssa
248,11,3.1928123636363637,pittcssa
249,9,3.0553223222222226,pittcssa
250,15,3.6042593333333333,pittcssa
251,10,3.7538207999999997,pittcssa
252,9,3.226158111111111,pittcssa
253,8,3.2867676000000006,pittcssa
254,7,3.175804714285715,pittcssa
255,4,4.247954999999999,pittcssa
256,3,4.326844,pittcssa
257,5,3.997462,pittcssa
258,5,3.3830042,pittcssa
259,4,4.52037375,pittcssa
260,3,3.824391666666667,pittcssa
261,3,4.078128,pittcssa
263,5,3.2085782000000003,pittcssa
265,5,3.2085782000000003,pittcssa
266,11,3.8949169090909095,pittcssa
267,3,6.013838,pittcssa
268,5,3.2031796,pittcssa
269,5,3.452353,pittcssa
271,3,4.967656333333333,pittcssa
272,3,3.448586333333333,pittcssa
273,4,3.3207565,pittcssa
274,3,2.5509622333333333,pittcssa
275,8,3.1416537874999997,pittcssa
276,4,3.9698260000000003,pittcssa
278,4,4.39011185,pittcssa
279,3,5.0097309999999995,pittcssa
280,6,4.219925166666667,pittcssa
281,20,3.2337468350000003,pittcssa
282,4,5.18987525,pittcssa
284,3,3.227264333333333,pittcssa
286,5,3.2722781999999997,pittcssa
288,8,4.5013154,pittcssa
289,3,3.227264333333333,pittcssa
291,5,4.751570039999999,pittcssa
292,3,4.470950666666667,pittcssa
293,4,3.8969145000000003,pittcssa
295,4,4.1201685,pittcssa
298,3,3.2286259999999998,pittcssa
299,4,4.509242749999999,pittcssa
300,11,3.715972245454546,pittcssa
301,10,3.21988225,pittcssa
302,11,3.1771270727272722,pittcssa
303,10,3.97571679,pittcssa
304,12,3.16041195,pittcssa
306,27,3.407934744444444,pittcssa
308,15,2.748049106666666,pittcssa
311,5,4.1437788,pittcssa
312,3,3.227264333333333,pittcssa
314,9,2.2661864333333335,pittcssa
315,45,3.566192162222222,pittcssa
317,8,3.5203346250000003,pittcssa
319,9,2.5160017555555556,pittcssa
