SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
48,16,3.1245509187500002,5.305063,5.305063,3.0649166666666665,2.5498790437500003,psucssa
49,10,2.7077166499999996,2.913393,2.913393,1.6148315,2.38475035,psucssa
50,3,3.9719536666666664,4.642157,4.642157,4.642157,2.424568,psucssa
51,11,3.053438018181818,2.846311,2.846311,1.87994725,2.7116294272727273,psucssa
53,11,4.692604827272727,7.128982,6.292604,5.856773,3.0953030999999998,psucssa
54,8,3.354826,5.313958,5.313958,3.2624540000000004,1.31579225,psucssa
56,8,3.354826,5.313958,5.313958,3.2624540000000004,1.31579225,psucssa
58,9,4.738333000000001,6.100998,6.100998,5.250595333333334,1.2379361111111113,psucssa
59,12,3.0086416916666665,3.243527,3.243527,3.243527,2.738347775,psucssa
61,12,3.5686770749999996,4.376752,4.376752,4.376752,3.2039477416666657,psucssa
62,8,3.2562839125,4.550694,4.550694,5.4328065,1.8980822874999999,psucssa
63,6,3.9018266666666666,4.055674,4.055674,2.7714535,2.9780088333333334,psucssa
65,7,3.094743814285714,5.146537,5.146537,5.146537,2.3595242428571432,psucssa
66,16,3.18733525,5.675975,5.675975,3.6101001999999993,2.0591789375,psucssa
67,7,4.201189985714286,7.234301,7.234301,4.375993633333333,2.325764142857143,psucssa
68,3,3.9719536666666664,4.642157,4.642157,4.642157,2.424568,psucssa
69,11,3.053438018181818,2.846311,2.846311,1.87994725,2.7116294272727273,psucssa
70,7,3.704131257142858,6.326181,6.326181,5.442208,2.1492146857142855,psucssa
71,9,3.138670444444444,4.721739,4.721739,2.342365,2.3578821111111115,psucssa
72,34,2.9397324176470585,3.940942,3.940942,2.499292,2.79271524117647,psucssa
73,19,3.1357359157894735,5.124951,5.124951,4.797286333333333,2.3782696526315785,psucssa
74,7,4.201189985714286,7.234301,7.234301,4.375993633333333,2.325764142857143,psucssa
75,4,2.5567581500000003,4.294359,4.294359,2.5037792,0.67892375,psucssa
76,11,3.053438018181818,2.846311,2.846311,1.87994725,2.7116294272727273,psucssa
77,12,3.3244218333333335,5.120634,5.120634,5.563008666666666,1.9336696666666668,psucssa
78,13,3.568397861538462,3.459267,3.459267,4.39747275,2.215329323076923,psucssa
80,8,3.9211278499999995,1.903363,1.903363,2.4487472,2.6967542499999997,psucssa
81,17,3.047837705882353,4.193159,4.193159,3.094273428571429,1.773725117647059,psucssa
82,3,4.214724666666666,6.165354,6.165354,4.4519785,1.246739,psucssa
83,7,3.6995473571428574,3.951605,4.981923,3.6460505,2.136954285714286,psucssa
85,9,3.357195544444445,2.608369,2.608369,2.608369,3.0673767666666674,psucssa
88,14,3.337906628571429,7.390783,7.390783,4.24154,2.7319723428571434,psucssa
89,14,3.4565698,4.590767,5.760533,5.760533,2.6336365142857145,psucssa
91,24,3.3125048125,5.073573,5.154783,3.57373592,2.5679764958333333,psucssa
92,31,3.3181679580645165,4.586547,5.2801695,4.5757650000000005,2.7277466677419357,psucssa
93,24,3.3125048125,5.073573,5.154783,3.57373592,2.5679764958333333,psucssa
94,31,3.3181679580645165,4.586547,5.2801695,4.5757650000000005,2.7277466677419357,psucssa
95,6,3.1021439500000003,3.413973,2.881977,2.651807425,1.3342723333333335,psucssa
96,26,3.5433019961538466,4.383111,4.383111,4.383111,3.3747208038461545,psucssa
98,29,4.148919427586208,5.349935,5.3397945,4.484367082352942,1.5201525172413797,psucssa
99,16,3.0208344375,4.118209,4.118209,4.421552,2.4681404375000002,psucssa
102,14,3.337906628571429,7.390783,7.390783,4.24154,2.7319723428571434,psucssa
